"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","package_ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date","Manufacture Date from Wholesale","Manufacture Date from Cult","Manufacture Date from Downtown"
"4643","DTF - Downtown Flower","Fatso 28g - Value","Fatso","224-221227.0001","35581","12/27/2022","https://lims.tagleaf.com/coas/dh9Waxuu20z5lNm2hsaW2Euj45U3GeCEZfiyYwEa0palQuHyYG","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/27/2023",NA
"4644","DTF - Downtown Flower","Fatso 28g - Value","Fatso","224-221227.0001","35581","12/27/2022","https://lims.tagleaf.com/coas/dh9Waxuu20z5lNm2hsaW2Euj45U3GeCEZfiyYwEa0palQuHyYG","Forever 46, LLC - 00000057DCHF00477864","","",NA,"",NA
"4645","DTF - Downtown Flower","Fatso 28g - Value","Fatso","224-221227.0001","35581","12/27/2022","https://lims.tagleaf.com/coas/dh9Waxuu20z5lNm2hsaW2Euj45U3GeCEZfiyYwEa0palQuHyYG","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/27/2023",NA
"4646","DTF - Downtown Flower","Zack's Rhino 3.5g - Value","Zack's Rhino","291C-221227.0001","36126","12/27/2022","https://lims.tagleaf.com/coas/V6XVO3ejawE8v3kvC3rs1o4f0eDZeMpm8ZWSZFTwHjMrTrk78N","Forever 46, LLC - 00000057DCHF00477864","","",NA,"3/7/2023",NA
"4647","DTF - Downtown Flower","Zack's Rhino 3.5g - Value","Zack's Rhino","291C-221227.0001","36126","12/27/2022","https://lims.tagleaf.com/coas/V6XVO3ejawE8v3kvC3rs1o4f0eDZeMpm8ZWSZFTwHjMrTrk78N","Forever 46, LLC - 00000057DCHF00477864","","",NA,"",NA
"4648","DTF - Downtown Flower","Zack's Rhino 3.5g - Value","Zack's Rhino","291C-221227.0001","36126","12/27/2022","https://lims.tagleaf.com/coas/V6XVO3ejawE8v3kvC3rs1o4f0eDZeMpm8ZWSZFTwHjMrTrk78N","Forever 46, LLC - 00000057DCHF00477864","","",NA,"3/7/2023",NA
"4649","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","221227-001-BBC","41943","12/27/2022","https://lims.tagleaf.com/coas/ULkMC2TS05zhsxhW70prAA461Iums8GmTgJYrh2xNBOSoCgsDm","Forever 46, LLC - 00000057DCHF00477864","","","5/18/2023",NA,"5/18/2023"
"4650","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","221227-001-BBC","41943","12/27/2022","https://lims.tagleaf.com/coas/ULkMC2TS05zhsxhW70prAA461Iums8GmTgJYrh2xNBOSoCgsDm","Forever 46, LLC - 00000057DCHF00477864","","","5/18/2023",NA,"5/18/2023"
"4651","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","221227-001-BBC","41943","12/27/2022","https://lims.tagleaf.com/coas/ULkMC2TS05zhsxhW70prAA461Iums8GmTgJYrh2xNBOSoCgsDm","Forever 46, LLC - 00000057DCHF00477864","","","5/18/2023",NA,"5/18/2023"
"4652","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","221227-001-BBC","33804","12/27/2022","https://lims.tagleaf.com/coas/ULkMC2TS05zhsxhW70prAA461Iums8GmTgJYrh2xNBOSoCgsDm","Forever 46, LLC - 00000057DCHF00477864","","",NA,NA,"1/31/2023"
